,pid,lname,fname,birthcity,birthcountry,coach,birthdate,age,nationality,height,weight,playhand,backhand,proyear,active
68,o483,O'Connell,Christopher,Sydney,Australia,Marinko Matosevic,1994-06-03,29,Australia,183,78,R,1,2011,A
69,c0e9,Cobolli,Flavio,Florence,Italy,Stefano Cobolli,2002-05-06,21,Italy,183,74,R,2,2020,A
70,mu94,Munar,Jaume,Santanyi,Mallorca,"Javier Fernandez, Miguel Sanchez",1997-05-05,26,Spain,183,76,R,2,2014,A
71,v832,Vukic,Aleksandar,Sydney,Australia,"Nuno Lencastre, Jay Gooding",1996-04-06,27,Australia,188,85,R,2,2018,A
72,v0dz,Van Assche,Luca,,,Yannick Quere,2004-05-11,19,France,178,72,R,2,2021,A
73,sx91,Seyboth Wild,Thiago,Marechal Candido Rondon,BRA,Duda Matos,2000-03-10,23,Brazil,185,80,R,2,2018,A
74,w367,Wawrinka,Stan,Lausanne,Switzerland,Magnus Norman,1985-03-28,38,Switzerland,183,81,R,1,2002,A
75,v812,van de Zandschulp,Botic,Wageningen,Netherlands,Sven Groeneveld,1995-10-04,28,Netherlands,191,85,R,2,2016,A
76,m0qi,Michelsen,Alex,Laguna Hills,CA,"Jay Leavitt, Eric Diaz",2004-08-25,19,United States,193,79,R,2,2023,A
77,f724,Fucsovics,Marton,Nyiregyhaza,Hungary,Peter Nagy,1992-02-08,32,Hungary,188,82,R,2,2010,A
78,cg04,Cachin,Pedro,Bell Ville,Argentina,"Martin Cuevas, Matias Barreira, Alex Corretja",1995-04-12,28,Argentina,185,77,R,2,2013,A
79,h0bh,Hijikata,Rinky,Sydney,Australia,Mark Draper,2001-02-23,23,Australia,178,72,R,2,2021,A
80,d0fj,Darderi,Luciano,,,Luciano Enrique Darderi,2002-02-14,22,Italy,183,82,R,2,,A
81,mp20,Muller,Alexandre,Poissy,France,Jean-Christophe Faurel,1997-02-01,27,France,183,75,R,2,2014,A
82,n732,Nishioka,Yoshihito,Mie,Japan,Christian Zahalka,1995-09-27,28,Japan,170,64,L,2,2014,A
83,gd64,Garin,Cristian,Santiago,Chile,Andres Schneiter,1996-05-30,27,Chile,185,85,R,2,2011,A
84,ge33,Galan,Daniel Elahi,Bucaramanga,Colombia,Santos Galan,1996-06-18,27,Colombia,191,72,R,2,2015,A
85,g09o,Gaston,Hugo,Toulouse,France,Younes El Aynaoui,2000-09-26,23,France,173,68,L,2,2018,A
86,c0h0,Cazaux,Arthur,Montpellier,France,Stephane Huet ,2002-08-23,21,France,183,73,R,2,2020,A
87,m0ni,Mensik,Jakub,,,Tomas Josefus,2005-09-01,18,Czech Republic,193,83,R,2,2022,A
88,ce77,Coria,Federico,Rosario,Argentina,Carlos Berlocq,1992-03-09,31,Argentina,180,73,R,2,2010,A
89,n0ae,Nakashima,Brandon,San Diego,CA,Mariano Puerta and Davide Sanguinetti,2001-08-03,22,United States,188,83,R,2,2019,A
90,rc91,Rinderknech,Arthur,Gassin,France,,1995-07-23,28,France,196,88,R,2,2018,A
91,r09x,Rodionov,Jurij,Nuremberg,Germany,"Gary Mueller, Florian Pernhaupt",1999-05-16,24,Austria,191,83,L,2,2017,A
92,tb69,Thiem,Dominic,Wiener Neustadt,Austria,Wolfgang Thiem,1993-09-03,30,Austria,185,79,R,1,2011,A
93,k0az,Kovacevic,Aleksandar,New York,NY,Dante Bottini,1998-08-29,25,United States,183,79,R,1,2021,A
94,kd46,Kokkinakis,Thanasi,Adelaide,Australia,"Todd Langman, Todd Ley",1996-04-10,27,Australia,193,84,R,2,2013,A
95,w09g,Wolf,J.J.,Cincinnati,OH,"Patrick Thompson, David Kass, Matt Vaughn",1998-12-21,25,United States,183,81,R,2,2019,A
96,mn13,Marterer,Maximilian,Nuremberg,Germany,Gerald Radovici,1995-06-15,28,Germany,188,78,L,2,2015,A
97,n897,Nagal,Sumit,Jhajjar,India,Sascha Nensel,1997-08-16,26,India,178,69,R,2,2015,A
98,bd06,Bautista Agut,Roberto,Castellon de la Plana,Spain,"Jose Luis Vendrell Bru, Daniel Gimeno-Traver",1988-04-14,35,Spain,183,75,R,2,2005,A
99,lb66,Lestienne,Constant,Amiens,France,,1992-05-23,31,France,180,77,R,2,2012,A
100,t0a1,Tirante,Thiago Agustin,La Plata,Argentina,"Javier Nalbandian, Miguel Pastura",2001-04-10,22,Argentina,185,81,R,2,2016,A
101,mo44,Martinez,Pedro,Alzira,Spain,,1997-04-26,26,Spain,185,76,R,2,2016,A
102,mj08,Monteiro,Thiago,Fortaleza,Brazil,"Ruben Ramirez-Hidalgo, Pablo Fuentes",1994-05-31,29,Brazil,183,78,L,2,2011,A
103,hb64,Halys,Quentin,Bondy,France,Nicolas Devilder,1996-10-26,27,France,191,85,R,2,2012,A
104,r772,Ramos-Vinolas,Albert,Barcelona,Spain,"Jose Maria Diaz, Tiago Leivas",1988-01-17,36,Spain,188,76,L,2,2007,A
105,gh92,Gojo,Borna,Split,Croatia,Duje Delic,1998-02-27,25,Croatia,196,90,R,2,2020,A
106,n0bg,Nardi,Luca,,,"Giorgio Galimberti, Marco De Rossi",2003-08-06,20,Italy,185,80,R,2,,A
107,p09o,Piros,Zsombor,Budapest,Hungary,Attila Piros,1999-10-13,24,Hungary,180,68,R,2,2016,A
108,d994,Duckworth,James,Sydney,Australia,Wayne Arthurs,1992-01-21,32,Australia,183,82,R,2,2010,A
109,f510,Fognini,Fabio,Sanremo,Italy,German Gaich,1987-05-24,36,Italy,178,79,R,2,2004,A
110,pd31,Paire,Benoit,Avignon,France,Xavier Moureaux,1989-05-08,34,France,196,80,R,2,2007,A
111,bs86,Barrios Vera,Tomas,Chillan,Chile,Guillermo Gomez,1997-12-10,26,Chile,191,88,R,2,2019,A
112,s0la,Stricker,Dominic,Grosshochstetten,Switzerland,Dieter Kindlmann,2002-08-16,21,Switzerland,183,80,L,2,2020,A
113,gb88,Goffin,David,Rocourt,Belgium,Germain Gigounon,1990-12-07,33,Belgium,180,70,R,2,2009,A
114,c0df,Comesana,Francisco,,,Sebastián Gutiérrez ,2000-10-06,23,Argentina,178,72,R,2,,A
115,ki82,Kopriva,Vit,Bilovec,Czech Republic,Jaroslav Pospisil,1997-06-15,26,Czech Republic,178,69,R,2,2015,A
116,m0jf,Medjedovic,Hamad,Novi Pazar,Serbia,Viktor Troicki,2003-07-18,20,Serbia,188,86,R,2,2021,A
117,sm37,Schwartzman,Diego,Buenos Aires,Argentina,"Leo Olguin, Bruno Tiberti",1992-08-16,31,Argentina,170,64,R,2,2010,A
118,g628,Gasquet,Richard,Beziers,France,Julien Cassaigne,1986-06-18,37,France,183,79,R,1,2002,A
119,v836,Varillas,Juan Pablo,Lima,Peru,Diego Junqueira,1995-10-06,28,Peru,185,77,R,2,2013,A
120,su55,Shapovalov,Denis,,,Matt Daly ,1999-04-15,24,Canada,185,75,L,1,2017,A
121,a0cj,Ajdukovic,Duje,Split,Croatia,Frane Nincevic,2001-02-05,23,Croatia,188,78,R,2,2018,A
122,mp01,Mmoh,Michael,Riyadh,Saudi Arabia,Zack Evenden,1998-01-10,26,United States,188,90,R,2,2016,A
123,bu13,Bergs,Zizou,Lommel,Belgium,Ruben Bemelmans,1999-06-03,24,Belgium,185,85,R,2,2018,A
124,bk24,Barrere,Gregoire,Charenton-le-Pont,France,Nicolas Copin,1994-02-16,30,France,183,80,R,2,2012,A
125,bk40,Berrettini,Matteo,Rome,Italy,"Francisco Roig, Umberto Rianna",1996-04-12,27,Italy,196,95,R,2,2015,A
126,wb08,Watanuki,Yosuke,Saitama,Japan,Keisuke Watanuki,1998-04-12,25,Japan,180,70,R,2,2016,A
127,u182,Ugo Carabelli,Camilo,Buenos Aires,Argentina,"Leonardo Olguin, Marcos Massonneau",1999-06-17,24,Argentina,185,83,R,2,2016,A
128,bi23,Broady,Liam,Stockport,England,David Sammel,1994-01-04,30,Great Britain,183,78,L,2,2014,A
129,d0f6,Diallo,Gabriel,Montreal,Canada,Martin Laurendeau,2001-09-24,22,Canada,203,90,R,2,2023,A
130,mw75,Meligeni Alves,Felipe,Campinas,Brazil,Francisco Yunis,1998-02-19,26,Brazil,185,83,R,2,2016,A
131,v0am,Virtanen,Otto,,,Jan De Witt,2001-06-21,22,Finland,193,82,R,2,2018,A
132,m0g4,Mayot,Harold,Metz,France,Thierry Tulasne,2002-02-04,22,France,178,78,R,2,2020,A
133,va08,Vavassori,Andrea,Torino,Italy,Davide Vavassori,1995-05-05,28,Italy,191,80,R,1,2014,A
134,n0am,Nava,Emilio,Woodland Hills,CA,Oscar Martinez,2001-12-02,22,United States,185,79,R,2,2018,A
135,mv14,Molcan,Alex,Presov,Slovakia,"Karol Beck, Marian Vajda",1997-12-01,26,Slovak Republic,178,73,L,2,2015,A
136,kb95,Kubler,Jason,Brisbane,Australia,"Jarrad Bunt, Stephen Huss",1993-05-19,30,Australia,178,74,R,2,2011,A
137,d0c1,de Jong,Jesper,,,Jeroen Benard,2000-05-31,23,Netherlands,180,70,R,2,,A
138,m0hu,Mochizuki,Shintaro,Kawasaki,Japan,,2003-06-02,20,Japan,175,70,R,2,2019,A
139,s0re,Shang,Juncheng,Beijing,China,Martin Alund,2005-02-02,19,China,180,73,L,2,2021,A
140,mw02,Moutet,Corentin,Paris,France,Petar Popovic,1999-04-19,24,France,180,71,L,2,2016,A
141,z0a1,Zeppieri,Giulio,Rome,Italy,"Massimo Sartori, Nicola Ceragioli, Tommaso Castagnola",2001-12-07,22,Italy,183,82,L,2,2019,A
142,ki63,Klein,Lukas,Spisska Nova Ves,Slovakia,Karol Kucera,1998-03-22,25,Slovak Republic,193,85,R,0,,A
143,z419,Zapata Miralles,Bernabe,Valencia,Spain,Samuel Ribeiro,1997-01-12,27,Spain,183,79,R,2,2015,A
144,gf95,Grenier,Hugo,Montbrison,France,Gerard Solves,1996-03-23,27,France,196,85,R,2,2013,A
145,w09e,Walton,Adam,,,,1999-04-17,24,Australia,183,77,R,2,,A
146,a0gc,Atmane,Terence,,,Robin Boule,2002-01-09,22,France,193,80,L,2,,A
147,va25,Vacherot,Valentin,,,Benjamin Balleret,1998-11-16,25,Monaco,193,83,R,2,,A
148,bf23,Bagnis,Facundo,Rosario,Argentina,Antonio Pastorino,1990-02-27,33,Argentina,183,82,L,2,2008,A
149,s0k7,Svajda,Zachary,La Jolla,CA,"David Nainkin, Rhyne Williams ",2002-11-29,21,United States,175,66,R,2,2019,A
150,k0a3,Kypson,Patrick,Durham,NC,Alejandro Gonzalez,1999-10-28,24,United States,188,82,R,2,2019,A
151,l0cx,Llamas Ruiz,Pablo,,,Agustin Boje,2002-10-13,21,Spain,188,80,R,2,,A
152,a829,Albot,Radu,Chisinau,Moldova,"Burghard Riehemann, Vladimir Albot",1989-11-11,34,Moldova,175,69,R,2,2008,A
153,d923,Dzumhur,Damir,Sarajevo,Bosnia-Herzegovina,Antonio Sancic,1992-05-20,31,Bosnia-Herzegovina,175,68,R,2,2011,A
154,hg94,Hassan,Benjamin,Merzig,Germany,"Hasan Ibrahim, Saki Hassan",1995-02-04,29,Germany,183,85,R,2,,A
155,ph64,Pellegrino,Andrea,,,Giovanni Galuppo,1997-03-23,26,Italy,185,81,R,2,2016,A
156,g0gd,Gigante,Matteo,,,,2002-01-04,22,Italy,180,68,L,2,,A
157,da31,Dellien,Hugo,Trinidad,Bolivia,Antonio Pastorino,1993-06-16,30,Bolivia,180,75,R,2,2009,A
158,y218,Ymer,Elias,Skara,Sweden,"Rafael Ymer, Frederico Goncalves",1996-04-10,27,Sweden,185,78,R,2,2014,A
159,b0fv,Burruchaga,Roman Andres,Buenos Aires,Argentina,Mariano Hood,2002-01-23,22,Argentina,183,80,R,0,,A
160,r0fs,Riedi,Leandro,Frauenfeld,Switzerland,Yannik Steinegger,2002-01-27,22,Switzerland,191,78,R,2,,A
161,c0c8,Cerundolo,Juan Manuel,Buenos Aires,Argentina,"Juan ignacio Chela, Alejandro Cerundolo, Mariano Hood",2001-11-15,22,Argentina,183,76,L,2,2018,A
162,n679,Napolitano,Stefano,Biella,Italy,Cristian Brandi,1995-04-11,28,Italy,196,90,R,2,2012,A
163,m0jz,Misolic,Filip,Graz,Austria,,2001-08-08,22,Austria,180,75,R,2,2019,A
164,mw18,Moreno De Alboran,Nicolas,New York,NY,Glenn Kuma-Mintah,1997-07-14,26,United States,185,82,R,2,2019,A
165,k926,Kukushkin,Mikhail,Volgograd,Russia,,1987-12-26,36,Kazakhstan,183,72,R,2,2006,A
166,h996,Herbert,Pierre-Hugues,Schiltigheim,France,Jean Roch Herbert,1991-03-18,32,France,188,75,R,2,2010,A
167,d0dw,Droguet,Titouan,,,Yannick Jankovits ,2001-06-15,22,France,191,80,R,2,2018,A
168,pg94,Polmans,Marc,Amanzimtoti,South Africa,Greg Polmans,1997-05-02,26,Australia,188,78,R,2,2015,A
169,p0hw,Prizmic,Dino,Split,Croatia,Miro Hrvatin,2005-08-05,18,Croatia,188,80,R,2,,A
170,m0gz,Mpetshi Perricard,Giovanni,,,Emmanuel Planque,2003-07-08,20,France,203,98,R,1,2021,A
171,ss25,Sachko,Vitaliy,Kremenchuk,Ukraine,,1997-07-14,26,Ukraine,188,73,R,2,,A
172,bm95,Bonzi,Benjamin,Nimes,France,Lionel Zimbler,1996-06-09,27,France,183,82,R,2,2015,A
173,ch12,Choinski,Jan,Koblenz,Germany,"Andrzej Choinski, Pawel Strauss",1996-06-10,27,Great Britain,196,88,R,2,,A
174,o660,Olivieri,Genaro Alberto,Bragado,Argentina,"Diego Cristin, Matias O'Neille",1998-08-04,25,Argentina,175,73,R,2,2016,A
175,sy67,Shimabukuro,Sho,Gifu,Japan,Thomas Shimada,1997-07-30,26,Japan,180,78,R,2,2016,A
176,ge28,Gakhov,Ivan,Moscow,Russia,"Miguel Sánchez, Salvador Navarro, Igor Muguruza",1996-11-04,27,Russia,191,83,L,2,,A
177,s0gd,Svrcina,Dalibor,,,Marek Jaloviec,2002-10-02,21,Czech Republic,178,68,R,2,,A
178,kb09,Kudla,Denis,Kiev,Ukraine,Robert Lindstedt,1992-08-17,31,United States,180,79,R,2,2010,A
179,y171,Yevseyev,Denis,,,Yevgen Tseplyaev,1993-05-22,30,Kazakhstan,185,77,R,2,,A
180,hg86,Harris,Lloyd,Cape Town,South Africa,Anthony Harris,1997-02-24,27,South Africa,193,80,R,2,2015,A
181,y09v,Bu,Yunchaokete,Xinjiang,China,"Yu Jinxing, Ricardo Ojeda Lara, Carmelo Alventosa",2002-01-19,22,China,185,82,R,2,,A
182,c0bc,Cressy,Maxime,Paris,France,"Alexandre Sidorenko, Juanjo Climent, Andrew Mawire",1997-05-08,26,United States,201,85,R,2,2019,A
183,b0gg,Bellucci,Mattia,,,"Fabio Chiappini, Bellucci Fabrizio",2001-06-01,22,Italy,178,72,L,2,,A
184,cg33,Coppejans,Kimmer,Oostende,Belgium,"Michael Lynch, Carl Maes",1994-02-07,30,Belgium,180,68,R,2,2012,A
185,hd68,Harris,Billy,,,Joserra Blasco,1995-01-25,29,Great Britain,193,86,R,2,,A
186,i305,Ivashka,Ilya,Minsk,Belarus,Jose Checa-Calvo,1994-02-24,30,Belarus,193,87,R,2,2013,A
187,m0ac,Molleker,Rudolf,Severodonetsk,Ukraine,Benjamin Thiele,2000-10-26,23,Germany,188,82,R,2,2017,A
188,ta12,Travaglia,Stefano,Ascoli Piceno,Italy,"Giuseppe Fischetti , Andrea Chiricozzi",1991-12-28,32,Italy,185,80,R,2,2008,A
189,mw76,Martineau,Matteo,Angers,France,Cyril Barnier & Michael Bois,1999-01-16,25,France,183,76,R,1,,A
190,z09z,Zhukayev,Beibit,,,,2000-10-12,23,Kazakhstan,196,93,R,2,,A
191,j0az,Jacquet,Kyrian,,,Olivier COYRAS,2001-05-11,22,France,178,70,R,2,,A
192,rc04,Ritschard,Alexander,Zurich,Switzerland,"Hans Ritschard, Juan Ramirez",1994-03-24,29,Switzerland,193,82,R,2,2018,A
193,rb60,Roca Batalla,Oriol,,,"Joan Balcells, David Olles",1993-04-30,30,Spain,175,75,R,1,,A
194,f840,Fatic,Nerman,Sarajevo,Bosnia & Herzegovina,Patricio Remondegui,1994-10-24,29,Bosnia-Herzegovina,191,88,R,2,2014,A
195,l0gh,Lajal,Mark,,,Thomas Le Boulch,2003-05-12,20,Estonia,191,80,R,2,,A
196,rh59,Rodriguez Taverna,Santiago,Buenos Aires,Argentina,Guillermo Franco,1999-07-16,24,Argentina,191,82,R,2,2016,A
197,bv16,Blanchet,Ugo,,,Olivier Coyras,1999-01-05,25,France,175,68,R,2,,A
198,cf01,Cecchinato,Marco,Palermo,Italy,"Julian Alonso, Eduardo Nicolas",1992-09-30,31,Italy,185,78,R,1,2010,A
199,hh06,Huesler,Marc-Andrea,Zurich,Switzerland,"Thiemo Scharfenberger, Juerg Huesler",1996-06-24,27,Switzerland,196,86,L,2,2016,A
200,aa27,Agamenone,Franco,Rio Cuarto,Argentina,Andrea Trono,1993-04-15,30,Italy,191,80,R,2,2010,A
201,e768,Escoffier,Antoine,,,,1992-02-29,31,France,185,78,R,2,,A
202,s0ia,Sweeny,Dane,,,Clay Sweeny,2001-02-12,23,Australia,170,63,R,2,,A
203,tc01,Tu,Li,Adelaide,Australia,,1996-05-27,27,Australia,180,83,R,1,,A
204,c0ak,Crawford,Oliver,Spartanburg,SC,Nick Bybel,1999-04-30,24,Great Britain,180,84,R,2,2020,A
205,mk26,Marie,Jules,,,,1991-09-01,32,France,185,76,R,0,,A
206,bo10,Brouwer,Gijs,Houston,TX,Michiel Schapers,1996-03-14,27,Netherlands,191,73,L,2,2016,A
207,gk06,Galarneau,Alexis,Laval,Canada,Gary Müller,1999-03-02,24,Canada,180,79,R,2,,A
208,r0fp,Rincon,Daniel,,,Toni Baldellou,2003-01-07,21,Spain,185,85,L,2,,A
209,d0dt,Damm,Martin,,,Martin Damm Sr. & Micah Klousia & Jan Satral,2003-09-30,20,United States,203,95,L,2,,A
210,va70,Valkusz,Mate,Budapest,Hungary,Zoltan Kuharszky,1998-08-13,25,Hungary,183,75,R,2,,A
211,da86,De Loore,Joris,Bruges,Belgium,Bastian Suwanprateep,1993-04-21,30,Belgium,191,86,R,2,2011,A
212,pc11,Pella,Guido,Bahia Blanca,Argentina,"Jose Acasuso, Kevin Konfederak",1990-05-17,33,Argentina,183,79,L,2,2007,A
213,hc21,Hong,Seongchan,,,,1997-06-30,26,South Korea,175,65,R,2,,A
214,ph78,Peniston,Ryan,Southend-on-sea,Essex,Mark Taylor,1995-11-10,28,Great Britain,180,75,L,2,,A
215,gb53,Gaio,Federico,Faenza,Italy,Fabio Filippo Colangelo,1992-03-05,31,Italy,178,85,R,1,2009,A
216,o482,Oliveira,Goncalo,Porto,Portugal,Abilio Oliveira,1995-02-17,29,Portugal,185,79,L,2,2012,A
